#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-127174.76271611487,13967.648178309668,-113207.1145378052,186.42991344154615,1.018537270733841
200,-127010.65739480115,15300.80036975781,-111709.85702504334,204.22385015037887,1.018537270733841
300,-126166.93189592508,15766.497270502878,-110400.4346254222,210.4396304870229,1.018537270733841
400,-125426.41845804465,16147.285885316378,-109279.13257272827,215.52211735903964,1.018537270733841
500,-125054.8558804564,17020.67566512921,-108034.18021532719,227.17948293502036,1.018537270733841
600,-124465.99738840235,17495.062374070287,-106970.93501433206,233.51124845178384,1.018537270733841
700,-124062.95337574964,18006.127689401794,-106056.82568634785,240.332573078802,1.018537270733841
800,-123563.98438869638,18199.696264167724,-105364.28812452866,242.91618430511102,1.018537270733841
900,-123085.37221984414,18547.222194840433,-104538.1500250037,247.55470528923897,1.018537270733841
1000,-122733.828778664,18919.186127292924,-103814.64265137108,252.51940677980068,1.018537270733841
1100,-122385.20510737633,19323.667949189898,-103061.53715818643,257.91813318544075,1.018537270733841
1200,-121976.88910842722,19559.223274528515,-102417.6658338987,261.0621527335397,1.018537270733841
1300,-121166.68108168594,19506.590817694087,-101660.09026399185,260.3596533401847,1.018537270733841
1400,-120981.76274408994,19795.86264613885,-101185.90009795109,264.22064133541363,1.018537270733841
1500,-120697.88347840996,19994.77811119007,-100703.10536721989,266.87561892779536,1.018537270733841
1600,-120310.09227957518,20264.990957517643,-100045.10132205754,270.4822216220035,1.018537270733841
1700,-120479.2074824957,20574.66628268687,-99904.54119980882,274.61554051214677,1.018537270733841
1800,-120030.76744723169,20499.808860108722,-99530.95858712296,273.6163985926522,1.018537270733841
1900,-119633.39921979595,20644.081214799313,-98989.31800499663,275.542040064546,1.018537270733841
2000,-119465.7317168027,20696.87258027005,-98768.85913653264,276.2466604537145,1.018537270733841
2100,-119199.5814654011,20641.74448579736,-98557.83697960374,275.51085112135314,1.018537270733841
2200,-119058.72098082525,20787.862901086104,-98270.85807973915,277.46113245481337,1.018537270733841
2300,-119213.1047565596,21204.209672263532,-98008.89508429606,283.01822349271697,1.018537270733841
2400,-118539.22138372005,20970.81459768873,-97568.40678603132,279.9030373858509,1.018537270733841
2500,-118533.96624501364,21318.8013840802,-97215.16486093344,284.5477095337725,1.018537270733841
2600,-118259.10784919036,21354.6192686382,-96904.48858055216,285.0257803609127,1.018537270733841
2700,-117912.88066293986,21239.34928277193,-96673.53138016793,283.48724121580244,1.018537270733841
2800,-117996.59963840654,21439.30139449623,-96557.2982439103,286.15605520691537,1.018537270733841
2900,-117573.01657395798,21322.428533565486,-96250.5880403925,284.596122062206,1.018537270733841
3000,-117782.4570559921,21676.48261849233,-96105.97443749977,289.3217760566299,1.018537270733841
3100,-117495.27741991205,21677.830757498043,-95817.446662414,289.33977002633287,1.018537270733841
3200,-117455.54888404149,21871.71496448433,-95583.83391955716,291.92759407979577,1.018537270733841
3300,-117080.58552683238,21780.742330414243,-95299.84319641814,290.7133581483973,1.018537270733841
3400,-117297.13938815927,22062.354137218324,-95234.78525094094,294.47210579842266,1.018537270733841
3500,-117141.51734413987,22262.828275637585,-94878.68906850228,297.1478874186105,1.018537270733841
3600,-116635.89829030109,21771.162340456154,-94864.73594984494,290.58549147565054,1.018537270733841
3700,-116623.47230893315,22017.773817399982,-94605.69849153317,293.877080418428,1.018537270733841
3800,-116699.66048046888,22023.104736246343,-94676.55574422254,293.94823360945946,1.018537270733841
3900,-116576.0026975408,21936.575691352482,-94639.42700618831,292.7933074440945,1.018537270733841
4000,-116812.71507763339,22036.549020777922,-94776.16605685547,294.12767804917536,1.018537270733841
4100,-116821.34848499985,21913.224278379465,-94908.12420662038,292.481629927327,1.018537270733841
4200,-116976.33479373006,22012.211399456486,-94964.12339427357,293.80283734740465,1.018537270733841
4300,-116826.77564945386,21838.5837757783,-94988.19187367556,291.4853832964319,1.018537270733841
4400,-117038.3878136779,22194.646101733786,-94843.74171194411,296.23784181774255,1.018537270733841
4500,-116746.20054796373,22177.285687248223,-94568.91486071551,296.0061277504539,1.018537270733841
4600,-116892.31776267604,22181.571110378252,-94710.74665229779,296.06332643222146,1.018537270733841
4700,-116610.8752127731,21987.31210884708,-94623.56310392602,293.47049989633143,1.018537270733841
4800,-116660.19649673288,21851.465707008378,-94808.7307897245,291.65732185713483,1.018537270733841
4900,-117429.23355093261,22776.62364809541,-94652.6099028372,304.0056508438611,1.018537270733841
5000,-116966.59055653063,22460.58610968897,-94506.00444684166,299.78741380228905,1.018537270733841
5100,-116542.90824431612,22157.916758145555,-94384.99148617056,295.74760550462065,1.018537270733841
5200,-116772.93009876215,22369.446577993687,-94403.48352076847,298.57095024391845,1.018537270733841
5300,-116438.36275845568,22111.813012788152,-94326.54974566752,295.1322465589637,1.018537270733841
5400,-116767.46235430508,22406.90585014911,-94360.55650415597,299.0709291076733,1.018537270733841
5500,-116298.62183980958,22022.351252929075,-94276.2705868805,293.93817666731536,1.018537270733841
5600,-116319.16192855872,22177.81292636576,-94141.34900219296,296.0131649511187,1.018537270733841
5700,-116215.35929710732,22451.17376879428,-93764.18552831304,299.66178478615984,1.018537270733841
5800,-115850.89481223223,22124.926233354257,-93725.96857887798,295.30727219992133,1.018537270733841
5900,-116049.40887550719,22543.34664713079,-93506.0622283764,300.89204069685917,1.018537270733841
6000,-115809.49613463262,22438.404581151903,-93371.09155348071,299.4913510440941,1.018537270733841
6100,-115744.68000452907,22243.802515618037,-93500.87748891104,296.8939455417588,1.018537270733841
6200,-116001.39050213771,22461.434599675704,-93539.95590246201,299.7987388237073,1.018537270733841
6300,-115973.65835154091,22520.65993274818,-93452.99841879273,300.58923508888347,1.018537270733841
6400,-115854.69935444219,22382.468609440606,-93472.23074500158,298.74475875946024,1.018537270733841
6500,-115751.14208785223,22264.64486841671,-93486.49721943552,297.17213396536255,1.018537270733841
6600,-116369.57600159885,22686.728579252027,-93682.84742234682,302.80579746200686,1.018537270733841
6700,-115985.65870409494,22453.31807924481,-93532.34062485013,299.69040546779365,1.018537270733841
6800,-115805.95218373311,22481.7860172214,-93324.16616651171,300.07037460397765,1.018537270733841
6900,-115952.89869675634,22694.19084541034,-93258.707851346,302.9053983122153,1.018537270733841
7000,-115658.46846528852,22264.702397746063,-93393.76606754246,297.17290182461517,1.018537270733841
7100,-115936.97974889295,22455.563119080383,-93481.41662981256,299.7203706113078,1.018537270733841
7200,-116073.13426452724,22436.575024085585,-93636.55924044165,299.4669314595545,1.018537270733841
7300,-115919.12562785705,22340.948304375634,-93578.17732348142,298.19057620986325,1.018537270733841
7400,-116094.83959072165,22732.728422850196,-93362.11116787145,303.4197696032617,1.018537270733841
7500,-115887.82200050203,22367.135819924762,-93520.68618057726,298.540107941673,1.018537270733841
7600,-115982.85381671868,22465.518781519204,-93517.33503519947,299.8532514845249,1.018537270733841
7700,-115957.54654481297,22498.701416360214,-93458.84512845275,300.2961489331289,1.018537270733841
7800,-115907.53699443897,22362.42151308409,-93545.11548135488,298.47718483500364,1.018537270733841
7900,-116187.1416243416,22431.02039811993,-93756.12122622167,299.3927923901308,1.018537270733841
8000,-115932.70271662099,22523.96228140674,-93408.74043521425,300.63331241433656,1.018537270733841
8100,-115826.44472953386,22478.371353849303,-93348.07337568456,300.02479818418493,1.018537270733841
8200,-115526.5641875671,22253.420698759845,-93273.14348880725,297.022321989082,1.018537270733841
8300,-115722.6682566352,22290.94553657202,-93431.72272006318,297.5231759750878,1.018537270733841
8400,-116228.23619102908,22762.114540635608,-93466.12165039347,303.8119939294461,1.018537270733841
8500,-115891.74382904766,22401.48075609142,-93490.26307295624,298.9985189350604,1.018537270733841
8600,-115635.96788284124,22275.104825365852,-93360.86305747539,297.31174579147216,1.018537270733841
8700,-115832.24225331133,22569.90405400074,-93262.33819931059,301.24650946646096,1.018537270733841
8800,-115807.48603956017,22421.890922658145,-93385.59511690203,299.2709388541325,1.018537270733841
8900,-115488.50617873331,22101.881904989714,-93386.6242737436,294.9996934230595,1.018537270733841
9000,-115827.77890052751,22361.79991393001,-93465.9789865975,298.46888818584614,1.018537270733841
9100,-115592.45442139579,22167.259632749017,-93425.19478864677,295.8723073356937,1.018537270733841
9200,-115987.02691959811,22601.21677988826,-93385.81013970985,301.66444874315994,1.018537270733841
9300,-116034.34838074807,22551.435307680164,-93482.9130730679,301.00000219952784,1.018537270733841
9400,-115681.66292867658,22254.220495013476,-93427.4424336631,297.03299708229974,1.018537270733841
9500,-115563.91288995079,22410.302298885304,-93153.61059106549,299.1162624118784,1.018537270733841
9600,-115943.46211233025,22771.263792853686,-93172.19831947656,303.9341114310681,1.018537270733841
9700,-115740.82588156441,22698.744581875857,-93042.08129968855,302.9661782434009,1.018537270733841
9800,-115732.63477402681,22534.202664529905,-93198.4321094969,300.76999353021864,1.018537270733841
9900,-115746.23484321532,22911.502153402194,-92834.73268981313,305.8059101107373,1.018537270733841
10000,-115631.69912568887,22639.099613413855,-92992.59951227502,302.1700809931235,1.018537270733841
